codigo_dane;establecimiento educativo;comuna;prestacion_servicio;isce_total_2018;isce_prim_2018;isce_secun_2018;isce_media_2018;desempeño_prim_2018;progreso_prim_2018;eficiencia_prim_2018;ambiente_prim_2018;desempeño_secun_2018;progreso_secun_2018;eficiencia_secun_2018;ambiente_secun_2018;desempeño_media_2018;progreso_media_2018;eficienciai_media_2018;iscec_total_2017;iscec_prim_2017;iscec_secun_2017;iscec_media_2017;desempeño_prim_2017;progreso_prim_2017;eficiencia_prim_2017;ambiente_prim_2017;desempeño_secun_2017;progreso_secun_2017;eficiencia_secun_2017;ambiente_secun_2017;desempeño_media_2017;progreso_media_2017;eficiencia_media_2017;iscec_total_2016;iscec_prim_2016;iscec_secun_2016;iscec_media_2016;desempeño_prim_2016;progreso_prim_2016;eficiencia_prim_2016;ambiente_prim_2016;desempeño_secun_2016;progreso_secun_2016;eficienciacia_secun_2016;ambiente_secun_2016;desempeño_media_2016;progreso_media_2016;eficiencia_media_2016;iscec_total_2015;iscec_prim_2015;iscec_secun_2015;iscec_media_2015;desempeño_prim_2015;progreso_prim_2015;eficiencia_prim_2015;ambiente_prim_2015;desempeño_secun_2015;progreso_secun_2015;eficiencia_secun_2015;ambiente_secun_2015;desempeño_media_2015;progreso_media_2015;eficiencia_media_2015
105001000418;inst educ la milagrosa;9;oficial;4.62584455;4.480721951;5.041057587;4.225747585;2.473999977;0.485679984;0.762000024;0.759041905;2.248000145;1.375971317;0.677999973;0.739086151;2.457747459;0;1.768000007;4.687091064;4.495377541;3.410603523;7.35229969;2.446000099;0.457888484;0.833981872;0.757507145;1.983999968;0;0.655619621;0.770983875;2.475648165;3;1.876652002;3.299973583;2.772517681;3.47751379;4.176054001;1.166000009;0;0.874197662;0.732320011;2.10800004;0.010204081;0.646616518;0.712693274;2.369405985;0.055537093;1.75111115;4.512188137;5.297235012;3.807924986;3.97829318;2.430000067;1.312726378;0.8283859;0.726123035;2.407999992;0;0.69010043;0.709824502;2.395675898;0.026279138;1.556338028
105001000485;inst educ la salle de campoamor;15;oficial;5.588474464;4.203850746;6.169747353;7.686650276;2.440000057;0.057692308;0.953999996;0.752158225;2.636000156;1.985233545;0.806999981;0.741513193;2.765546799;3.151103497;1.769999981;5.175230932;4.27451992;4.960420609;7.577748775;2.532000065;0.046444803;0.955307245;0.740767658;2.584000111;0.826488256;0.818897665;0.731034517;2.682552576;3;1.895196557;5.761177301;6.053566456;4.297038555;7.66554451;2.592000008;1.708862782;0.974637687;0.778066099;2.24000001;0.344155848;0.964412808;0.748470128;2.62559557;3.102205753;1.937743187;5.117200673;5.140100002;3.818137407;7.339037895;2.696000099;0.777970672;0.899866489;0.766262352;2.268000126;0.010309278;0.811638591;0.728189409;2.526793003;3;1.812244898
105001000493;inst educ ramon giraldo ceballos;16;oficial;5.110700583;5.348529339;5.420572281;4.033310413;2.260000229;1.469000101;0.866999984;0.752528846;2.34800005;1.526200056;0.790000021;0.756372452;2.264326334;0.006984125;1.761999965;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
105001000566;inst educ caracas;8;oficial;5.111069083;4.886995792;5.276576042;5.325596809;2.46600008;0.768530726;0.898999989;0.753464639;2.332000017;1.372857094;0.818000019;0.753719032;2.489596844;0.899999976;1.93599999;4.283121336;4.510181904;3.887624502;4.464354515;2.426000118;0.442203939;0.8946684;0.747309446;2.184000015;0;0.928977251;0.774647117;2.401720524;0.124489799;1.938144326;4.334602904;4.185068607;4.23886776;4.838591576;2.32400012;0.18984963;0.923673987;0.747544885;2.332000017;0.270000011;0.884726226;0.752141476;2.244333267;0.636363685;1.957894683;4.986480355;5.776931763;4.400529385;4.233378887;2.549999952;1.603950262;0.885325559;0.737655878;2.228000164;0.558050394;0.866004963;0.748473942;2.313379049;0;1.92
105001000621;inst educ escuela normal superior de medellin;8;oficial;5.938985014;5.140868664;6.058281422;7.525978088;2.486000061;0.923701286;0.967999995;0.76316756;2.691999912;1.762877822;0.855000019;0.748403609;2.729978085;3;1.796000004;5.863311577;5.204158783;5.696105957;7.639015198;2.57400012;0.900125623;0.960815072;0.769217968;2.611999989;1.5;0.827348053;0.756757736;2.720678806;3.040941715;1.877394676;;;5.838834763;7.306588173;;;0.993620396;;2.720000029;1.564523697;0.825757563;0.728553236;2.62187624;3.013178825;1.671532869;6.545962143;5.653628826;7.188186169;7.429820061;2.523999929;1.510416746;0.879643388;0.73956877;2.684000015;3.021052599;0.748322148;0.734811544;2.590026855;3;1.839793282
105001000795;inst educ alfredo cock arango;6;oficial;5.052012396;5.010592461;5.426399231;4.490030289;2.416000128;0.978606224;0.865999997;0.749985874;2.420000076;1.50999999;0.745000005;0.751399219;2.534697056;0.333333284;1.621999979;4.334515297;4.737572193;3.966852427;4.071047306;2.354000092;0.730979025;0.885196388;0.767396867;2.328000069;0.190714285;0.711815536;0.736322343;2.38963151;0;1.681415915;4.839286494;4.039503574;4.376030922;7.449495316;2.165999889;0.205842391;0.901315808;0.766345382;2.072000027;0.777272701;0.780564249;0.746193767;2.460304737;3.172676325;1.816513777;4.293804753;5.213526249;3.435478449;3.726502419;2.343999863;1.308897376;0.809859155;0.750769496;1.991999984;0;0.696035242;0.747443259;2.312216759;0;1.414285714
105001000809;inst educ perpetuo socorro;13;oficial;4.968630219;3.986610413;4.705814362;7.638102531;2.298000097;0.005154639;0.926999986;0.756455779;2.423999786;0.796713948;0.736999989;0.748100817;2.661862135;3.240240335;1.735999942;5.178128636;5.459430695;3.623983145;7.264953613;2.487999916;1.320994377;0.909297049;0.741139531;2.211999893;0.005102041;0.672077894;0.73480314;2.444728613;3;1.820224762;5.328751731;3.9547019;5.937288284;7.355424881;2.188000202;0.041666668;0.977375567;0.747659445;2.351999998;1.955050468;0.921686769;0.708551049;2.448448181;3;1.9069767;4.43934027;5.044930935;3.790594339;4.21206665;2.473999977;1.611011147;0.95991984;;2.256000042;0;0.808383234;0.72621119;2.43124485;0;1.780821918
105001000841;inst educ jesus maria el rosal;5;oficial;7.14555819;6.864769459;7.247478485;7.598972321;2.692000151;2.483730316;0.927999973;0.76103884;2.828000069;2.93719101;0.751999974;0.730287611;2.812972069;3;1.786000013;6.540284944;6.659349918;5.721071243;7.706012726;2.708000183;2.276796341;0.919496834;0.755056322;2.676000118;1.5;0.779999971;0.765071094;2.755782843;3.196805239;1.753424644;7.515735292;7.545402527;7.46489048;7.537962437;2.875999928;3;0.941251576;0.728150964;2.927999973;3;0.777365506;0.759524822;2.591654062;3;1.946308732;7.484347343;7.398519039;7.735234737;7.238408089;2.99000001;2.870629787;0.814371257;0.723518014;3.104000092;3.144548893;0.73495935;0.751726389;2.563989401;3;1.674418605
105001000868;inst educ republica de venezuela;16;oficial;4.927655482;3.851850986;6.529580116;4.544847488;2.246000051;0;0.84799999;0.757850945;2.587999821;2.460227251;0.700999975;0.780352652;2.576078176;0.210769236;1.758000016;5.061082506;5.150562763;5.422208309;4.227781773;2.427999973;1.115881443;0.839999974;0.766681373;2.480000019;1.560606003;0.664310932;0.717291117;2.424503088;0;1.803278685;4.772703362;4.694824219;5.425789833;3.805030107;2.227999926;0.808412373;0.920588255;0.737823725;2.480000019;1.604979992;0.58518517;0.755624771;2.31105423;0;1.493975878;4.834973741;4.352634907;4.079673767;7.24201107;2.119999886;0.627876341;0.858156028;0.746602476;2.124000072;0.524285734;0.686956522;0.744431317;2.48099494;3.05731225;1.703703704
105001000876;inst educ javiera londoño sevilla;4;oficial;5.921243262;5.651227951;7.178072453;4.32932663;2.309999943;1.708238006;0.865999997;0.766989529;2.631999969;3.005319118;0.777999997;0.762753427;2.463326693;0;1.866000056;6.659539533;5.804976463;7.303450108;7.455462933;2.578000069;1.562489867;0.897959173;0.766527236;2.699999809;3.02020216;0.81583792;0.767410457;2.562129498;3;1.893333316;6.945747519;6.644479752;7.127654076;7.305263519;2.519999981;2.444173813;0.94534415;0.734961867;2.555999994;3.026041508;0.786749482;0.758862853;2.433104753;3.095761299;1.776397467;4.574305034;4.607309341;4.98812151;3.775866508;2.242000103;0.811437964;0.813253012;0.74061799;2.343999863;1.317785978;0.591549296;0.73478651;2.374985456;0;1.400881057
